Date,Active_Cases,Close
17-11-2020,453401,12874.2
18-11-2020,446805,12938.25
19-11-2020,443303,12771.7
20-11-2020,443794,12859.05
23-11-2020,443486,12926.45
24-11-2020,438667,13055.15
25-11-2020,444746,12858.4
26-11-2020,452344,12987
27-11-2020,455555,12968.95
01-12-2020,435603,13109.05
02-12-2020,428644,13113.75
03-12-2020,422943,13133.9
04-12-2020,416082,13258.55
07-12-2020,396729,13355.75
08-12-2020,383866,13392.95
09-12-2020,378909,13529.1
10-12-2020,372293,13478.3
11-12-2020,363749,13513.85
14-12-2020,352586,13558.15
15-12-2020,339759,13567.85
16-12-2020,332002,13682.7
17-12-2020,322366,13740.7
18-12-2020,313831,13760.55
21-12-2020,306223,13328.4
22-12-2020,285732,13466.3
23-12-2020,289240,13601.1
24-12-2020,283849,13749.25
28-12-2020,277301,13873.2
29-12-2020,268581,13932.6
30-12-2020,262272,13981.95
31-12-2020,257656,13981.75
01-01-2021,254254,14018.5
04-01-2021,243953,14132.9
05-01-2021,231036,14199.5
06-01-2021,227546,14146.25
07-01-2021,228083,14137.35
08-01-2021,225449,14347.25
11-01-2021,222526,14484.75
12-01-2021,216558,14563.45
13-01-2021,214507,14564.85
14-01-2021,213603,14595.6
15-01-2021,213027,14433.7
18-01-2021,208012,14281.3
19-01-2021,200528,14521.15
20-01-2021,197201,14644.7
21-01-2021,192308,14590.35
22-01-2021,188688,14371.9
25-01-2021,178627,14238.9
27-01-2021,176498,13967.5
28-01-2021,173740,13817.55
29-01-2021,171686,13634.6
01-02-2021,167256,14281.2
02-02-2021,163353,14647.85
03-02-2021,160057,14789.95
04-02-2021,155025,14895.65
05-02-2021,151460,14924.25
08-02-2021,148609,15115.8
09-02-2021,143625,15109.3
10-02-2021,141511,15106.5
11-02-2021,138735,15173.3
12-02-2021,135926,15163.3
15-02-2021,139637,15314.7
16-02-2021,136872,15313.45
17-02-2021,136549,15208.9
18-02-2021,131620,15118.95
19-02-2021,139542,14981.75
22-02-2021,150055,14675.7
23-02-2021,147306,14707.8
24-02-2021,159379,14982
